scenario,summary_file,objective_total_expenditure_gbp,capex_total_gbp,annual_opex_gbp_per_year,lifecycle_opex_discounted_gbp,feasibility_rule,years_checked,non_depleting_pass,start_soc_pct,end_soc_pct,min_soc_pct,wind_mw,solar_mw,electrolyzer_mw,h2_turbine_mw,storage_mwh_h2
wind_h2_25y_nondepleting,wind/h2_total_expenditure_25y_nondepleting_summary.json,194281821786.9972,96007065511.22333,3930990251.0309553,98274756275.77388,indefinite_repeated_years,25,True,100.0,61.62877759711493,10.004319046470926,24000.0,0.0,6000.0,8199.844292682927,6132409.66796875
solar_h2_25y_nondepleting,solar/solar_h2_total_expenditure_25y_nondepleting_summary.json,438147440782.56384,240347402343.75,7912001537.552555,197800038438.81387,indefinite_repeated_years,25,True,100.0,46.44825811893911,46.44825811893911,0.0,150000.0,40000.0,8200.0,22245800.78125
hybrid_wind_solar_h2_no_gas_25y_nondepleting,hybrid/hybrid_dispatch_no_gas_25y_nondepleting_opt_summary.json,247274849581.5495,129610000000.0,4706593983.261979,117664849581.54948,one_year_cyclic_non_depleting,25,True,100.0,100.0,71.04513774098534,32000.0,20000.0,14000.0,8200.0,2000000.0
