design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
wind,24000.00 MW,60000000000.0,54000000000.0
electrolyzer,14000.00 MW,840000000.0,48803666029.266624
h2_turbine,8199.84 MW,1475971972.682927,7749661650.924147
storage,4073535.16 MWh-H2,12220605468.75,203676757.8125
TOTAL,,74536577441.43292,110757004438.00328
