time,wind_mw,demand_mw,surplus_mw,deficit_mw,charge_h2_mwh_potential,charge_h2_mwh_actual,discharge_h2_mwh_needed,discharge_h2_mwh_actual,curtailed_surplus_electric_mwh,unmet_electric_mwh,soc_start_mwh,soc_end_mwh,soc_end_pct
2019-07-13 20:00,10441.152791596578,8200.0,2241.152791596578,0.0,1568.8069541176046,1568.8069541176046,0.0,0.0,0.0,0.0,44368521.30915786,44370090.11611198,98.9321515267461
2019-07-13 21:00,11069.84935405706,8200.0,2869.84935405706,0.0,2008.8945478399417,2008.8945478399417,0.0,0.0,0.0,0.0,44370090.11611198,44372099.01065982,98.93663076623575
2019-07-13 22:00,10714.13532607511,8200.0,2514.1353260751093,0.0,1759.8947282525764,1759.8947282525764,0.0,0.0,0.0,0.0,44372099.01065982,44373858.90538807,98.94055480992083
2019-07-13 23:00,10564.053118363176,8200.0,2364.0531183631756,0.0,1654.8371828542229,1654.8371828542229,0.0,0.0,0.0,0.0,44373858.90538807,44375513.74257093,98.94424460641433
2019-07-14 00:00,10975.89801617628,8200.0,2775.8980161762793,0.0,1943.1286113233953,1943.1286113233953,0.0,0.0,0.0,0.0,44375513.74257093,44377456.871182255,98.94857720735584
2019-07-14 01:00,10773.06106635169,8200.0,2573.061066351691,0.0,1801.1427464461835,1801.1427464461835,0.0,0.0,0.0,0.0,44377456.871182255,44379258.013928704,98.95259322189732
2019-07-14 02:00,11504.02115468998,8200.0,3304.021154689981,0.0,2312.8148082829866,2312.8148082829866,0.0,0.0,0.0,0.0,44379258.013928704,44381570.82873698,98.95775011349855
2019-07-14 03:00,12003.413260340223,8200.0,3803.413260340223,0.0,2662.389282238156,2662.389282238156,0.0,0.0,0.0,0.0,44381570.82873698,44384233.218019225,98.96368645257752
2019-07-14 04:00,11514.878449629801,8200.0,3314.8784496298013,0.0,2320.4149147408607,2320.4149147408607,0.0,0.0,0.0,0.0,44384233.218019225,44386553.63293397,98.96886029016383
2019-07-14 05:00,10639.765149664896,8200.0,2439.765149664896,0.0,1707.835604765427,1707.835604765427,0.0,0.0,0.0,0.0,44386553.63293397,44388261.46853873,98.97266825743166
2019-07-14 06:00,10084.95420307579,8200.0,1884.9542030757893,0.0,1319.4679421530525,1319.4679421530525,0.0,0.0,0.0,0.0,44388261.46853873,44389580.93648089,98.97561027990777
2019-07-14 07:00,9451.561430674241,8200.0,1251.561430674241,0.0,876.0930014719686,876.0930014719686,0.0,0.0,0.0,0.0,44389580.93648089,44390457.02948236,98.97756370766385
2019-07-14 08:00,8427.625032573611,8200.0,227.62503257361095,0.0,159.33752280152765,159.33752280152765,0.0,0.0,0.0,0.0,44390457.02948236,44390616.36700516,98.97791898311876
2019-07-14 09:00,7019.9541527369,8200.0,0.0,1180.0458472630999,0.0,0.0,1843.8216363485935,1843.8216363485935,0.0,0.0,44390616.36700516,44388772.54536881,98.97380780730103
2019-07-14 10:00,5403.5169879763835,8200.0,0.0,2796.4830120236165,0.0,0.0,4369.504706286901,4369.504706286901,0.0,0.0,44388772.54536881,44384403.04066253,98.96406510674379
2019-07-14 11:00,3899.490752922956,8200.0,0.0,4300.509247077044,0.0,0.0,6719.545698557881,6719.545698557881,0.0,0.0,44384403.04066253,44377683.49496397,98.94908251122727
2019-07-14 12:00,2657.8522080073913,8200.0,0.0,5542.147791992609,0.0,0.0,8659.605924988451,8659.605924988451,0.0,0.0,44377683.49496397,44369023.88903898,98.92977415635825
2019-07-14 13:00,2048.411846244238,8200.0,0.0,6151.588153755762,0.0,0.0,9611.856490243377,9611.856490243377,0.0,0.0,44369023.88903898,44359412.03254873,98.90834256493578
2019-07-14 14:00,1907.6824097421547,8200.0,0.0,6292.317590257845,0.0,0.0,9831.746234777882,9831.746234777882,0.0,9.094947017729282e-13,44359412.03254873,44349580.28631396,98.88642068454911
2019-07-14 15:00,2022.9384138643188,8200.0,0.0,6177.061586135681,0.0,0.0,9651.658728337,9651.658728337,0.0,0.0,44349580.28631396,44339928.62758562,98.86490034593142
2019-07-14 16:00,2252.8390703725768,8200.0,0.0,5947.160929627424,0.0,0.0,9292.438952542849,9292.438952542849,0.0,0.0,44339928.62758562,44330636.18863308,98.84418096095608
2019-07-14 17:00,2393.7821135481468,8200.0,0.0,5806.217886451854,0.0,0.0,9072.215447581022,9072.215447581022,0.0,0.0,44330636.18863308,44321563.973185495,98.82395260913181
2019-07-14 18:00,2357.1137343702485,8200.0,0.0,5842.8862656297515,0.0,0.0,9129.509790046486,9129.509790046486,0.0,0.0,44321563.973185495,44312434.46339545,98.80359650790346
2019-07-14 19:00,2100.3818030940515,8200.0,0.0,6099.618196905949,0.0,0.0,9530.653432665546,9530.653432665546,0.0,0.0,44312434.46339545,44302903.80996278,98.78234597523424
2019-07-14 20:00,1617.7853552234872,8200.0,0.0,6582.214644776513,0.0,0.0,10284.710382463301,10284.710382463301,0.0,0.0,44302903.80996278,44292619.09958032,98.75941411903779
2019-07-14 21:00,998.5536718799762,8200.0,0.0,7201.446328120024,0.0,0.0,11252.259887687538,11252.259887687538,0.0,0.0,44292619.09958032,44281366.83969263,98.73432491418572
2019-07-14 22:00,413.38455135953046,8200.0,0.0,7786.615448640469,0.0,0.0,12166.586638500734,12166.586638500734,0.0,0.0,44281366.83969263,44269200.25305413,98.70719703164742
2019-07-14 23:00,193.75099451635424,8200.0,0.0,8006.249005483645,0.0,0.0,12509.764071068195,12509.764071068195,0.0,0.0,44269200.25305413,44256690.48898306,98.67930396513789
2019-07-15 00:00,198.05040065694695,8200.0,0.0,8001.949599343053,0.0,0.0,12503.04624897352,12503.04624897352,0.0,0.0,44256690.48898306,44244187.442734085,98.65142587738075
2019-07-15 01:00,269.9482205123201,8200.0,0.0,7930.05177948768,0.0,0.0,12390.705905449498,12390.705905449498,0.0,0.0,44244187.442734085,44231796.73682863,98.62379827529669
2019-07-15 02:00,405.8194203670817,8200.0,0.0,7794.180579632918,0.0,0.0,12178.407155676434,12178.407155676434,0.0,0.0,44231796.73682863,44219618.329672955,98.5966440365082
2019-07-15 03:00,514.1833537387988,8200.0,0.0,7685.816646261201,0.0,0.0,12009.088509783125,12009.088509783125,0.0,9.094947017729282e-13,44219618.329672955,44207609.24116317,98.5698673281211
2019-07-15 04:00,606.4217521171378,8200.0,0.0,7593.578247882862,0.0,0.0,11864.966012316972,11864.966012316972,0.0,0.0,44207609.24116317,44195744.27515086,98.54341197019151
2019-07-15 05:00,670.4331734640945,8200.0,0.0,7529.566826535905,0.0,0.0,11764.948166462353,11764.948166462353,0.0,0.0,44195744.27515086,44183979.3269844,98.51717962241709
