time,wind_mw,demand_mw,surplus_mw,deficit_mw,charge_h2_mwh_potential,charge_h2_mwh_actual,discharge_h2_mwh_needed,discharge_h2_mwh_actual,curtailed_surplus_electric_mwh,unmet_electric_mwh,soc_start_mwh,soc_end_mwh,soc_end_pct
2019-03-06 04:00,11064.816802446838,8200.0,2864.8168024468378,0.0,2005.3717617127863,2005.3717617127863,0.0,0.0,0.0,0.0,1325301.9624846398,1327307.3342463525,91.60841063388533
2019-03-06 05:00,16890.18298432896,8200.0,8690.18298432896,0.0,6083.128089030271,6083.128089030271,0.0,0.0,0.0,0.0,1327307.3342463525,1333390.4623353828,92.0282574030097
2019-03-06 06:00,21414.701838316887,8200.0,13214.701838316887,0.0,9250.29128682182,9250.29128682182,0.0,0.0,0.0,0.0,1333390.4623353828,1342640.7536222045,92.66669618867901
2019-03-06 07:00,24396.67042967428,8200.0,16196.67042967428,0.0,11337.669300771995,11337.669300771995,0.0,0.0,0.0,0.0,1342640.7536222045,1353978.4229229765,93.44920212241293
2019-03-06 08:00,25362.049880774168,8200.0,17162.049880774168,0.0,12013.434916541917,12013.434916541917,0.0,0.0,0.0,0.0,1353978.4229229765,1365991.8578395185,94.27834820679203
2019-03-06 09:00,24931.535561474917,8200.0,16731.535561474917,0.0,11712.07489303244,11712.07489303244,0.0,0.0,0.0,0.0,1365991.8578395185,1377703.932732551,95.08669495399428
2019-03-06 10:00,23379.957043701303,8200.0,15179.957043701303,0.0,10625.96993059091,10625.96993059091,0.0,0.0,0.0,0.0,1377703.932732551,1388329.9026631417,95.82008065274627
2019-03-06 11:00,20942.105153723744,8200.0,12742.105153723744,0.0,8919.47360760662,8919.47360760662,0.0,0.0,0.0,0.0,1388329.9026631417,1397249.3762707484,96.4356869858098
2019-03-06 12:00,17855.553810516485,8200.0,9655.553810516485,0.0,6758.88766736154,6758.88766736154,0.0,0.0,0.0,0.0,1397249.3762707484,1404008.26393811,96.902173488886
2019-03-06 13:00,13856.336542208996,8200.0,5656.3365422089955,0.0,3959.4355795462966,3959.4355795462966,0.0,0.0,0.0,0.0,1404008.26393811,1407967.6995176564,97.17544674752843
2019-03-06 14:00,9713.706372902929,8200.0,1513.7063729029287,0.0,1059.59446103205,1059.59446103205,0.0,0.0,0.0,0.0,1407967.6995176564,1409027.2939786883,97.24857808794005
2019-03-06 15:00,7605.764785264994,8200.0,0.0,594.2352147350057,0.0,0.0,928.4925230234463,928.4925230234463,0.0,0.0,1409027.2939786883,1408098.801455665,97.18449517200565
2019-03-06 16:00,7440.82043567618,8200.0,0.0,759.1795643238202,0.0,0.0,1186.2180692559689,1186.2180692559689,0.0,1.1368683772161603e-13,1408098.801455665,1406912.5833864089,97.10262449353806
2019-03-06 17:00,8577.928745982817,8200.0,377.9287459828174,0.0,264.5501221879722,264.5501221879722,0.0,0.0,0.0,0.0,1406912.5833864089,1407177.1335085968,97.12088327626407
2019-03-06 18:00,9104.674772159793,8200.0,904.6747721597931,0.0,633.2723405118551,633.2723405118551,0.0,0.0,0.0,0.0,1407177.1335085968,1407810.4058491087,97.16459061601567
2019-03-06 19:00,7939.074146621903,8200.0,0.0,260.9258533780967,0.0,0.0,407.6966459032761,407.6966459032761,0.0,0.0,1407810.4058491087,1407402.7092032055,97.13645211275549
2019-03-06 20:00,5762.221770627267,8200.0,0.0,2437.778229372733,0.0,0.0,3809.0284833948954,3809.0284833948954,0.0,0.0,1407402.7092032055,1403593.6807198105,96.87355968654799
2019-03-06 21:00,3963.0884496876142,8200.0,0.0,4236.911550312386,0.0,0.0,6620.174297363103,6620.174297363103,0.0,0.0,1403593.6807198105,1396973.5064224475,96.41664693555722
2019-03-06 22:00,3329.8683649822647,8200.0,0.0,4870.131635017735,0.0,0.0,7609.580679715211,7609.580679715211,0.0,0.0,1396973.5064224475,1389363.9257427324,95.89144710152267
2019-03-06 23:00,3472.3700065984704,8200.0,0.0,4727.62999340153,0.0,0.0,7386.92186468989,7386.92186468989,0.0,0.0,1389363.9257427324,1381977.0038780426,95.38161478609652
2019-03-07 00:00,3280.0942350404453,8200.0,0.0,4919.905764959554,0.0,0.0,7687.352757749303,7687.352757749303,0.0,0.0,1381977.0038780426,1374289.6511202932,94.85104726043805
2019-03-07 01:00,3080.964228677003,8200.0,0.0,5119.035771322997,0.0,0.0,7998.493392692182,7998.493392692182,0.0,0.0,1374289.6511202932,1366291.157727601,94.2990053570561
2019-03-07 02:00,3668.127746013433,8200.0,0.0,4531.872253986567,0.0,0.0,7081.050396854011,7081.050396854011,0.0,0.0,1366291.157727601,1359210.107330747,93.81028375073532
2019-03-07 03:00,4735.538267145003,8200.0,0.0,3464.4617328549966,0.0,0.0,5413.2214575859325,5413.2214575859325,0.0,0.0,1359210.107330747,1353796.885873161,93.43667275549414
2019-03-07 04:00,4701.774154208483,8200.0,0.0,3498.225845791517,0.0,0.0,5465.9778840492445,5465.9778840492445,0.0,4.547473508864641e-13,1353796.885873161,1348330.9079891117,93.05942060476899
