design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
wind,24000.00 MW,60000000000.0,54000000000.0
electrolyzer,6000.00 MW,9000000000.0,36218474141.4513
h2_turbine,8199.84 MW,8609836507.317074,7749661650.924147
storage,6132409.67 MWh-H2,18397229003.90625,306620483.3984375
TOTAL,,96007065511.22333,98274756275.77388
