design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
wind,34000.00 MW,85000000000.0,76500000000.0
electrolyzer,14000.00 MW,21000000000.0,40569998262.890396
h2_turbine,8199.78 MW,8609768385.365852,7353900073.691477
storage,1408850.10 MWh-H2,4226550292.96875,70442504.8828125
TOTAL,,118836318678.3346,124494340841.46469
