time,wind_mw,demand_mw,surplus_mw,deficit_mw,charge_h2_mwh_potential,charge_h2_mwh_actual,discharge_h2_mwh_needed,discharge_h2_mwh_actual,curtailed_surplus_electric_mwh,unmet_electric_mwh,soc_start_mwh,soc_end_mwh,soc_end_pct
2019-01-01 00:00,31247.283292383792,8200.0,23047.283292383792,0.0,16133.098304668654,0.0,0.0,0.0,23047.283292383792,0.0,1460000.0,1460000.0,100.0
2019-01-01 01:00,30575.561953858378,8200.0,22375.561953858378,0.0,15662.893367700863,0.0,0.0,0.0,22375.561953858378,0.0,1460000.0,1460000.0,100.0
2019-01-01 02:00,30075.717655519595,8200.0,21875.717655519595,0.0,15313.002358863716,0.0,0.0,0.0,21875.717655519595,0.0,1460000.0,1460000.0,100.0
2019-01-01 03:00,28983.708226243507,8200.0,20783.708226243507,0.0,14548.595758370453,0.0,0.0,0.0,20783.708226243507,0.0,1460000.0,1460000.0,100.0
2019-01-01 04:00,27631.33290593936,8200.0,19431.33290593936,0.0,13601.933034157553,0.0,0.0,0.0,19431.33290593936,0.0,1460000.0,1460000.0,100.0
2019-01-01 05:00,26928.992179287074,8200.0,18728.992179287074,0.0,13110.29452550095,0.0,0.0,0.0,18728.992179287074,0.0,1460000.0,1460000.0,100.0
2019-01-01 06:00,27108.001200387604,8200.0,18908.001200387604,0.0,13235.600840271321,0.0,0.0,0.0,18908.001200387604,0.0,1460000.0,1460000.0,100.0
2019-01-01 07:00,27642.643438528194,8200.0,19442.643438528194,0.0,13609.850406969736,0.0,0.0,0.0,19442.643438528194,0.0,1460000.0,1460000.0,100.0
2019-01-01 08:00,28144.99816468237,8200.0,19944.99816468237,0.0,13961.498715277658,0.0,0.0,0.0,19944.99816468237,0.0,1460000.0,1460000.0,100.0
2019-01-01 09:00,29058.718594501373,8200.0,20858.718594501373,0.0,14601.10301615096,0.0,0.0,0.0,20858.718594501373,0.0,1460000.0,1460000.0,100.0
2019-01-01 10:00,29801.409550781776,8200.0,21601.409550781776,0.0,15120.986685547243,0.0,0.0,0.0,21601.409550781776,0.0,1460000.0,1460000.0,100.0
2019-01-01 11:00,30413.12915681342,8200.0,22213.12915681342,0.0,15549.190409769391,0.0,0.0,0.0,22213.12915681342,0.0,1460000.0,1460000.0,100.0
2019-01-01 12:00,30811.65786198354,8200.0,22611.65786198354,0.0,15828.160503388479,0.0,0.0,0.0,22611.65786198354,0.0,1460000.0,1460000.0,100.0
2019-01-01 13:00,30896.171657232593,8200.0,22696.171657232593,0.0,15887.320160062814,0.0,0.0,0.0,22696.171657232593,0.0,1460000.0,1460000.0,100.0
2019-01-01 14:00,30763.470845539443,8200.0,22563.470845539443,0.0,15794.42959187761,0.0,0.0,0.0,22563.470845539443,0.0,1460000.0,1460000.0,100.0
2019-01-01 15:00,30454.567674892172,8200.0,22254.567674892172,0.0,15578.19737242452,0.0,0.0,0.0,22254.567674892172,0.0,1460000.0,1460000.0,100.0
2019-01-01 16:00,29957.078332595935,8200.0,21757.078332595935,0.0,15229.954832817153,0.0,0.0,0.0,21757.078332595935,0.0,1460000.0,1460000.0,100.0
2019-01-01 17:00,29176.91929526335,8200.0,20976.91929526335,0.0,14683.843506684343,0.0,0.0,0.0,20976.91929526335,0.0,1460000.0,1460000.0,100.0
2019-01-01 18:00,28126.260978306742,8200.0,19926.260978306742,0.0,13948.382684814718,0.0,0.0,0.0,19926.260978306742,0.0,1460000.0,1460000.0,100.0
2019-01-01 19:00,26943.814742288658,8200.0,18743.814742288658,0.0,13120.670319602059,0.0,0.0,0.0,18743.814742288658,0.0,1460000.0,1460000.0,100.0
2019-01-01 20:00,25815.293811518095,8200.0,17615.293811518095,0.0,12330.705668062667,0.0,0.0,0.0,17615.293811518095,0.0,1460000.0,1460000.0,100.0
2019-01-01 21:00,24719.84480308731,8200.0,16519.84480308731,0.0,11563.891362161117,0.0,0.0,0.0,16519.84480308731,0.0,1460000.0,1460000.0,100.0
2019-01-01 22:00,23465.462516417338,8200.0,15265.462516417338,0.0,10685.823761492136,0.0,0.0,0.0,15265.46251641734,0.0,1460000.0,1460000.0,100.0
2019-01-01 23:00,21713.008724811523,8200.0,13513.008724811523,0.0,9459.106107368065,0.0,0.0,0.0,13513.008724811521,0.0,1460000.0,1460000.0,100.0
2019-01-02 00:00,19480.590535382962,8200.0,11280.590535382962,0.0,7896.413374768073,0.0,0.0,0.0,11280.590535382962,0.0,1460000.0,1460000.0,100.0
2019-01-02 01:00,17318.686003978197,8200.0,9118.686003978197,0.0,6383.080202784738,0.0,0.0,0.0,9118.686003978197,0.0,1460000.0,1460000.0,100.0
2019-01-02 02:00,15061.332660457525,8200.0,6861.332660457525,0.0,4802.932862320267,0.0,0.0,0.0,6861.332660457525,0.0,1460000.0,1460000.0,100.0
2019-01-02 03:00,13101.234103717186,8200.0,4901.234103717186,0.0,3430.8638726020304,0.0,0.0,0.0,4901.234103717186,0.0,1460000.0,1460000.0,100.0
2019-01-02 04:00,11246.440390449126,8200.0,3046.4403904491264,0.0,2132.5082733143886,0.0,0.0,0.0,3046.440390449127,0.0,1460000.0,1460000.0,100.0
2019-01-02 05:00,9463.911736830953,8200.0,1263.9117368309526,0.0,884.7382157816668,0.0,0.0,0.0,1263.9117368309526,0.0,1460000.0,1460000.0,100.0
2019-01-02 06:00,7967.140447020015,8200.0,0.0,232.85955297998498,0.0,0.0,363.84305153122654,363.84305153122654,0.0,0.0,1460000.0,1459636.1569484689,99.97507924304581
2019-01-02 07:00,6937.613909188653,8200.0,0.0,1262.3860908113465,0.0,0.0,1972.478266892729,1972.478266892729,0.0,0.0,1459636.1569484689,1457663.6786815762,99.83997799188877
2019-01-02 08:00,6358.826926680974,8200.0,0.0,1841.1730733190261,0.0,0.0,2876.8329270609784,2876.8329270609784,0.0,0.0,1457663.6786815762,1454786.8457545151,99.64293464072021
2019-01-02 09:00,6295.292830917468,8200.0,0.0,1904.7071690825323,0.0,0.0,2976.104951691457,2976.104951691457,0.0,0.0,1454786.8457545151,1451810.7408028238,99.43909183580985
2019-01-02 10:00,6507.486721822832,8200.0,0.0,1692.513278177168,0.0,0.0,2644.551997151825,2644.551997151825,0.0,0.0,1451810.7408028238,1449166.1888056719,99.25795813737479
2019-01-02 11:00,6977.935962773586,8200.0,0.0,1222.0640372264143,0.0,0.0,1909.4750581662722,1909.4750581662722,0.0,0.0,1449166.1888056719,1447256.7137475056,99.12717217448667
