wind_h2_share,solar_h2_share,gas_ccs_share,wind_h2_demand_mw,solar_h2_demand_mw,gas_ccs_demand_mw,wind_h2_capex_gbp,wind_h2_opex_25y_gbp,solar_h2_capex_gbp,solar_h2_opex_25y_gbp,gas_ccs_capex_gbp,gas_ccs_opex_25y_gbp,total_capex_gbp,total_opex_25y_gbp,total_expenditure_25y_gbp
0.15,0.0,0.85,1230.0,0.0,6970.0,14401059826.683498,14741213441.366081,0.0,0.0,12962500000.0,144241501371.4695,27363559826.6835,158982714812.8356,186346274639.5191
0.15,0.05,0.7999999999999999,1230.0,410.0,6559.999999999999,14401059826.683498,14741213441.366081,12017370117.1875,9890001921.940695,12199999999.999998,135756707173.14777,38618429943.870995,160387922536.45453,199006352480.32553
0.15,0.1,0.75,1230.0,820.0,6150.0,14401059826.683498,14741213441.366081,24034740234.375,19780003843.88139,11437500000.0,127271912974.82605,49873300061.0585,161793130260.07352,211666430321.13202
0.15,0.15,0.7,1230.0,1230.0,5740.0,14401059826.683498,14741213441.366081,36052110351.5625,29670005765.82208,10675000000.0,118787118776.5043,61128170178.246,163198337983.69244,224326508161.93845
0.15,0.2,0.6499999999999999,1230.0,1640.0,5329.999999999999,14401059826.683498,14741213441.366081,48069480468.75,39560007687.76278,9912499999.999998,110302324578.18256,72383040295.4335,164603545707.3114,236986586002.7449
0.15,0.25,0.6,1230.0,2050.0,4920.0,14401059826.683498,14741213441.366081,60086850585.9375,49450009609.70347,9150000000.0,101817530379.86082,83637910412.621,166008753430.93036,249646663843.55136
0.15,0.3,0.55,1230.0,2460.0,4510.0,14401059826.683498,14741213441.366081,72104220703.125,59340011531.64416,8387500000.000001,93332736181.53911,94892780529.8085,167413961154.54935,262306741684.35785
0.15,0.35,0.5,1230.0,2870.0,4100.0,14401059826.683498,14741213441.366081,84121590820.3125,69230013453.58485,7625000000.0,84847941983.21736,106147650646.996,168819168878.16827,274966819525.1643
0.15,0.4,0.44999999999999996,1230.0,3280.0,3689.9999999999995,14401059826.683498,14741213441.366081,96138960937.5,79120015375.52556,6862499999.999999,76363147784.89561,117402520764.1835,170224376601.78723,287626897365.9707
0.15,0.45,0.39999999999999997,1230.0,3690.0,3279.9999999999995,14401059826.683498,14741213441.366081,108156331054.6875,89010017297.46625,6099999999.999999,67878353586.57388,128657390881.371,171629584325.40622,300286975206.7772
0.15,0.5,0.35,1230.0,4100.0,2870.0,14401059826.683498,14741213441.366081,120173701171.875,98900019219.40694,5337500000.0,59393559388.25215,139912260998.5585,173034792049.02515,312947053047.5836
0.15,0.55,0.29999999999999993,1230.0,4510.0,2459.9999999999995,14401059826.683498,14741213441.366081,132191071289.06252,108790021141.34764,4574999999.999999,50908765189.930405,151167131115.746,174439999772.6441,325607130888.39014
0.15,0.6,0.25,1230.0,4920.0,2050.0,14401059826.683498,14741213441.366081,144208441406.25,118680023063.28831,3812500000.0,42423970991.60868,162422001232.9335,175845207496.26306,338267208729.19653
0.15,0.65,0.19999999999999996,1230.0,5330.0,1639.9999999999995,14401059826.683498,14741213441.366081,156225811523.4375,128570024985.22902,3049999999.9999995,33939176793.286938,173676871350.121,177250415219.88202,350927286570.00305
0.15,0.7,0.15000000000000002,1230.0,5740.0,1230.0000000000002,14401059826.683498,14741213441.366081,168243181640.625,138460026907.1697,2287500000.0000005,25454382594.965214,184931741467.3085,178655622943.501,363587364410.8095
0.15,0.75,0.09999999999999998,1230.0,6150.0,819.9999999999998,14401059826.683498,14741213441.366081,180260551757.8125,148350028829.1104,1524999999.9999998,16969588396.643469,196186611584.496,180060830667.11996,376247442251.61597
0.15,0.8,0.04999999999999993,1230.0,6560.0,409.99999999999943,14401059826.683498,14741213441.366081,192277921875.0,158240030751.05112,762499999.9999989,8484794198.321725,207441481701.6835,181466038390.73892,388907520092.4224
0.15,0.85,0.0,1230.0,6970.0,0.0,14401059826.683498,14741213441.366081,204295291992.1875,168130032672.9918,0.0,0.0,218696351818.871,182871246114.35788,401567597933.2289
