wind_mw,solar_mw,electrolyzer_mw,h2_turbine_mw,storage_mwh_h2,gas_ccs_capacity_mw,annual_gas_generation_mwh,annual_direct_renewable_mwh,annual_h2_turbine_output_mwh,annual_curtailed_surplus_mwh,end_soc_pct,min_soc_pct,capex_total_gbp,opex_lifecycle_undiscounted_gbp,opex_lifecycle_discounted_gbp,objective_total_expenditure_gbp
16000.0,10000.0,4000.0,8200.0,10500000.0,0.0,0.0,58619916.619586326,13212083.380413651,8801130.253473189,14.564108868810617,12.742369521183655,93110000000.0,71821333467.51717,71821333467.51717,164931333467.51715
16000.0,10000.0,4000.0,8200.0,11000000.0,0.0,0.0,58619916.619586326,13212083.380413651,8801130.253473189,18.44755846568287,16.708625452038948,94610000000.0,71846333467.51717,71846333467.51717,166456333467.51715
16000.0,10000.0,4000.0,8200.0,11500000.0,0.0,0.0,58619916.619586326,13212083.380413651,8801130.253473189,21.993316793261787,20.329989562819783,96110000000.0,71871333467.51717,71871333467.51717,167981333467.51715
16000.0,10000.0,4000.0,8200.0,12000000.0,0.0,0.0,58619916.619586326,13212083.380413651,8801130.253473189,25.24359526020923,23.649573331035644,97610000000.0,71896333467.51717,71896333467.51717,169506333467.51715
16000.0,10000.0,6000.0,8200.0,7500000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977476,23.892777702294616,15.731063319935556,87110000000.0,79338791570.634,79338791570.634,166448791570.634
16000.0,10000.0,6000.0,8200.0,8000000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977476,28.64947909590126,20.99787186243963,88610000000.0,79363791570.634,79363791570.634,167973791570.634
16000.0,10000.0,6000.0,8200.0,8500000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977493,32.846568560848105,25.645055870531294,90110000000.0,79388791570.63399,79388791570.63399,169498791570.63397
16000.0,10000.0,6000.0,8200.0,9000000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.8299775086,36.57731475191205,29.775886099946174,91610000000.0,79413791570.63397,79413791570.63397,171023791570.63397
16000.0,10000.0,6000.0,8200.0,9500000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977477,39.9153508176009,33.471892094685884,93110000000.0,79438791570.634,79438791570.634,172548791570.634
16000.0,10000.0,6000.0,8200.0,10000000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977487,42.91958327672084,36.79829748995161,94610000000.0,79463791570.634,79463791570.634,174073791570.634
16000.0,10000.0,6000.0,8200.0,10500000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977487,45.63769835878173,39.807902371382454,96110000000.0,79488791570.634,79488791570.634,175598791570.634
16000.0,10000.0,6000.0,8200.0,11000000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977487,48.10871206974637,42.54390680904706,97610000000.0,79513791570.634,79513791570.634,177123791570.634
16000.0,10000.0,6000.0,8200.0,11500000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977487,50.36485502323561,45.04199781734931,99110000000.0,79538791570.634,79538791570.634,178648791570.634
16000.0,10000.0,6000.0,8200.0,12000000.0,0.0,0.0,58619916.619586326,13212083.380413651,4140091.829977487,52.43298606393416,47.33191457495978,100610000000.0,79563791570.634,79563791570.634,180173791570.634
16000.0,10000.0,8000.0,8200.0,6500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496775,28.09316568217786,15.865222600671615,87110000000.0,83207025510.93518,83207025510.93518,170317025510.93518
16000.0,10000.0,8000.0,8200.0,7000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496775,33.22936813345096,21.874849557766566,88610000000.0,83232025510.93518,83232025510.93518,171842025510.93518
16000.0,10000.0,8000.0,8200.0,7500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496775,37.68074359122086,27.08319292058212,90110000000.0,83257025510.93518,83257025510.93518,173367025510.93518
16000.0,10000.0,8000.0,8200.0,8000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496775,41.57569711676962,31.640493363045795,91610000000.0,83282025510.93518,83282025510.93518,174892025510.93518
16000.0,10000.0,8000.0,8200.0,8500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.770449695,45.012420815782924,35.66164081227821,93110000000.0,83307025510.93517,83307025510.93517,176417025510.93518
16000.0,10000.0,8000.0,8200.0,9000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496793,48.06728632601715,39.235994100484994,94610000000.0,83332025510.93518,83332025510.93518,177942025510.93518
16000.0,10000.0,8000.0,8200.0,9500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.770449684,50.80058704570054,42.4340996741437,96110000000.0,83357025510.93518,83357025510.93518,179467025510.93518
16000.0,10000.0,8000.0,8200.0,10000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496924,53.26055769341547,45.312394690436506,97610000000.0,83382025510.93517,83382025510.93517,180992025510.93518
16000.0,10000.0,8000.0,8200.0,10500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496924,55.48624542230052,47.91656637184437,99110000000.0,83407025510.93517,83407025510.93517,182517025510.93518
16000.0,10000.0,8000.0,8200.0,11000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496924,57.50959790310522,50.28399517312433,100610000000.0,83432025510.93517,83432025510.93517,184042025510.93518
16000.0,10000.0,8000.0,8200.0,11500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496924,59.35700668992657,52.44556060037965,102110000000.0,83457025510.93517,83457025510.93517,185567025510.93518
16000.0,10000.0,8000.0,8200.0,12000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2662809.7704496924,61.050464744512894,54.426995575363755,103610000000.0,83482025510.93517,83482025510.93517,187092025510.93518
16000.0,10000.0,10000.0,8200.0,6000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.718610658,29.070666760481277,15.262750833608884,88610000000.0,86064108436.15134,86064108436.15134,174674108436.15134
16000.0,10000.0,10000.0,8200.0,6500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.718610658,34.52676931736741,21.781000769485168,90110000000.0,86089108436.15134,86089108436.15134,176199108436.15134
16000.0,10000.0,10000.0,8200.0,7000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.718610658,39.203428651841044,27.36807214309326,91610000000.0,86114108436.15134,86114108436.15134,177724108436.15134
16000.0,10000.0,10000.0,8200.0,7500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.718610658,43.256533408385025,32.2102006668871,93110000000.0,86139108436.15134,86139108436.15134,179249108436.15134
16000.0,10000.0,10000.0,8200.0,8000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.718610658,46.80300007036096,36.44706312520668,94610000000.0,86164108436.15134,86164108436.15134,180774108436.15134
16000.0,10000.0,10000.0,8200.0,8500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.718610653,49.93223536033938,40.18547117666481,96110000000.0,86189108436.15134,86189108436.15134,182299108436.15134
16000.0,10000.0,10000.0,8200.0,9000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.7186106502,52.71377784032056,43.50850055573903,97610000000.0,86214108436.15134,86214108436.15134,183824108436.15134
16000.0,10000.0,10000.0,8200.0,9500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.7186106604,55.202526375040584,46.481737368594935,99110000000.0,86239108436.15134,86239108436.15134,185349108436.15134
16000.0,10000.0,10000.0,8200.0,10000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.7186106604,57.4424000562886,49.157650500165225,100610000000.0,86264108436.15134,86264108436.15134,186874108436.15134
16000.0,10000.0,10000.0,8200.0,10500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.7186106604,59.46895243456055,51.5787147620621,102110000000.0,86289108436.15134,86289108436.15134,188399108436.15134
16000.0,10000.0,10000.0,8200.0,11000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.7186106604,61.311272778444376,53.77968227287768,103610000000.0,86314108436.15134,86314108436.15134,189924108436.15134
16000.0,10000.0,10000.0,8200.0,11500000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.7186106604,62.9933913532945,55.78926130449156,105110000000.0,86339108436.15134,86339108436.15134,191449108436.15134
16000.0,10000.0,10000.0,8200.0,12000000.0,0.0,0.0,58619916.619586326,13212083.380413651,2065403.7186106604,64.53533338024047,57.63137541680433,106610000000.0,86364108436.15134,86364108436.15134,192974108436.15134
16000.0,10000.0,12000.0,8200.0,5500000.0,0.0,0.0,58619916.619586326,13212083.380413651,1825334.2607023702,25.677975021176014,10.444102235803925,90110000000.0,88500388121.71454,88500388121.71454,178610388121.71454
16000.0,10000.0,12000.0,8200.0,6000000.0,0.0,0.0,58619916.619586326,13212083.380413651,1825334.260702366,31.871477102744738,17.907093716153614,91610000000.0,88525388121.71454,88525388121.71454,180135388121.71454
16000.0,10000.0,12000.0,8200.0,6500000.0,0.0,0.0,58619916.619586326,13212083.380413651,1825334.260702366,37.11213271022594,24.221932661064905,93110000000.0,88550388121.71454,88550388121.71454,181660388121.71454
16000.0,10000.0,12000.0,8200.0,7000000.0,0.0,0.0,58619916.619586326,13212083.380413651,1825334.260702366,41.604123230924,29.63465175670308,94610000000.0,88575388121.71454,88575388121.71454,183185388121.71454
