wind_mw,solar_mw,electrolyzer_mw,h2_turbine_mw,storage_mwh_h2,gas_ccs_capacity_mw,annual_gas_generation_mwh,annual_direct_renewable_mwh,annual_h2_turbine_output_mwh,annual_curtailed_surplus_mwh,end_soc_pct,min_soc_pct,capex_total_gbp,opex_lifecycle_undiscounted_gbp,opex_lifecycle_discounted_gbp,objective_total_expenditure_gbp
0.0,0.0,0.0,0.0,0.0,8200.0,71832000.0,0.0,0.0,0.0,0.0,0.0,11368181818.181818,167609667299.768,167609667299.768,178977849117.94983
0.0,20000.0,0.0,0.0,0.0,8200.0,52767712.71999999,19064287.279999994,0.0,4178633.0200000056,0.0,0.0,25368181818.181816,131786940009.3817,131786940009.3817,157155121827.5635
0.0,40000.0,0.0,0.0,0.0,8200.0,47579154.28000002,24252845.719999947,0.0,22232994.879999947,0.0,0.0,39368181818.181816,127132257101.85733,127132257101.85733,166500438920.03915
0.0,60000.0,0.0,0.0,0.0,8200.0,45213722.420000024,26618277.58000001,0.0,43110483.320000075,0.0,0.0,53368181818.181816,128818958892.643,128818958892.643,182187140710.82483
0.0,80000.0,0.0,0.0,0.0,8200.0,43884383.120000094,27947616.879999988,0.0,65024064.32,0.0,0.0,67368181818.181816,132832960335.01477,132832960335.01477,200201142153.1966
0.0,100000.0,0.0,0.0,0.0,8200.0,42989555.69999997,28842444.300000004,0.0,87372157.20000012,0.0,0.0,81368181818.18182,137822974332.6099,137822974332.6099,219191156150.79172
0.0,120000.0,0.0,0.0,0.0,8200.0,42325212.88,29506787.119999982,0.0,109950734.68000007,0.0,0.0,95368181818.18182,143330709188.34564,143330709188.34564,238698891006.52747
5000.0,0.0,0.0,0.0,0.0,8199.96756097561,49183418.56282885,22648581.43717095,0.0,0.0,0.0,0.0,23868136845.898003,127985774970.73877,127985774970.73877,151853911816.63678
5000.0,20000.0,0.0,0.0,0.0,8199.96756097561,33776428.14223145,38055571.85776861,0.0,7835929.87940244,0.0,0.0,37868136845.898,100378168640.8138,100378168640.8138,138246305486.7118
5000.0,40000.0,0.0,0.0,0.0,8199.96756097561,30621770.02068331,41210229.97931686,0.0,27924192.05785425,0.0,0.0,51868136845.898,100292088660.51578,100292088660.51578,152160225506.4138
5000.0,60000.0,0.0,0.0,0.0,8199.96756097561,29276700.927410115,42555299.07259002,0.0,49822043.26458111,0.0,0.0,65868136845.898,104270757407.8971,104270757407.8971,170138894253.7951
5000.0,80000.0,0.0,0.0,0.0,8199.96756097561,28533575.721198507,43298424.2788016,0.0,72321838.35836966,0.0,0.0,79868136845.89801,109601529097.34828,109601529097.34828,189469665943.24628
5000.0,100000.0,0.0,0.0,0.0,8199.96756097561,28024930.770039406,43807069.229960725,0.0,95056113.70721027,0.0,0.0,93868136845.89801,115458996795.39494,115458996795.39494,209327133641.29297
5000.0,120000.0,0.0,0.0,0.0,8199.96756097561,27634207.549576875,44197792.45042325,0.0,117908310.7867476,0.0,0.0,107868136845.89801,121581343533.55798,121581343533.55798,229449480379.456
10000.0,0.0,0.0,0.0,0.0,8199.93512195122,28241023.90185859,43590976.09814139,0.0,1706186.7762006077,0.0,0.0,36368091873.61419,92194366382.1515,92194366382.1515,128562458255.76569
10000.0,20000.0,0.0,0.0,0.0,8199.93512195122,18329068.26076157,53502931.73923825,0.0,15037151.435103634,0.0,0.0,50368091873.61419,76929858556.65343,76929858556.65343,127297950430.26761
10000.0,40000.0,0.0,0.0,0.0,8199.93512195122,16589007.114913415,55242992.88508647,0.0,36540010.58925536,0.0,0.0,64368091873.61419,80021285273.9048,80021285273.9048,144389377147.51898
10000.0,60000.0,0.0,0.0,0.0,8199.93512195122,15854752.2429951,55977247.75700468,0.0,59048676.017337136,0.0,0.0,78368091873.6142,85371981752.6144,85371981752.6144,163740073626.22858
10000.0,80000.0,0.0,0.0,0.0,8199.93512195122,15437103.915433547,56394896.08456631,0.0,81873947.98977566,0.0,0.0,92368091873.6142,91433848573.45186,91433848573.45186,183801940447.06604
10000.0,100000.0,0.0,0.0,0.0,8199.93512195122,15146866.473593289,56685133.52640661,0.0,104826630.84793547,0.0,0.0,106368091873.6142,97781909235.839,97781909235.839,204150001109.4532
10000.0,120000.0,0.0,0.0,0.0,8199.93512195122,14923160.353545116,56908839.6464548,0.0,127845845.0278875,0.0,0.0,120368091873.6142,104279414386.1069,104279414386.1069,224647506259.7211
15000.0,0.0,0.0,0.0,0.0,8199.90268292683,19145098.556668226,52686901.44333152,0.0,15258842.868181398,0.0,0.0,48868046901.330376,83012823529.0522,83012823529.0522,131880870430.38257
15000.0,20000.0,0.0,0.0,0.0,8199.90268292683,12180947.976069199,59651052.02393067,0.0,31537612.5875823,0.0,0.0,62868046901.330376,74369756639.5263,74369756639.5263,137237803540.85669
15000.0,40000.0,0.0,0.0,0.0,8199.90268292683,10979268.38159937,60852731.61840047,0.0,53578853.29311253,0.0,0.0,76868046901.33038,78670510829.35703,78670510829.35703,155538557730.6874
15000.0,60000.0,0.0,0.0,0.0,8199.90268292683,10458287.118767962,61373712.88123191,0.0,76300792.33028089,0.0,0.0,90868046901.33038,84500268364.27234,84500268364.27234,175368315265.60272
15000.0,80000.0,0.0,0.0,0.0,8199.90268292683,10158081.486127127,61673918.51387278,0.0,99243506.99764007,0.0,0.0,104868046901.33038,90825938201.8695,90825938201.8695,195693985103.1999
15000.0,100000.0,0.0,0.0,0.0,8199.90268292683,9953512.777515251,61878487.22248466,0.0,122281858.58902875,0.0,0.0,118868046901.33038,97366430332.92213,97366430332.92213,216234477234.2525
15000.0,120000.0,0.0,0.0,0.0,8199.90268292683,9794699.614603965,62037300.38539595,0.0,145365965.72611755,0.0,0.0,132868046901.33038,104009699831.24701,104009699831.24701,236877746732.5774
20000.0,0.0,0.0,0.0,0.0,8199.870243902438,14923205.807396322,56908794.19260362,0.0,33685531.55608042,0.0,0.0,61368001929.04656,84779466967.62894,84779466967.62894,146147468896.6755
20000.0,20000.0,0.0,0.0,0.0,8199.870243902438,9388999.606010979,62443000.393989004,0.0,51394245.654695116,0.0,0.0,75368001929.04655,79348380536.23055,79348380536.23055,154716382465.2771
20000.0,40000.0,0.0,0.0,0.0,8199.870243902438,8436884.427496348,63395115.57250362,0.0,73685050.77618046,0.0,0.0,89368001929.04655,84209713192.42992,84209713192.42992,173577715121.47647
20000.0,60000.0,0.0,0.0,0.0,8199.870243902438,8025303.965752447,63806696.034247525,0.0,96516390.6144365,0.0,0.0,103368001929.04655,90285209820.63063,90285209820.63063,193653211749.6772
20000.0,80000.0,0.0,0.0,0.0,8199.870243902438,7787328.830620737,64044671.169379205,0.0,119521335.77930486,0.0,0.0,117368001929.04655,96750663516.12079,96750663516.12079,214118665445.16736
20000.0,100000.0,0.0,0.0,0.0,8199.870243902438,7623504.356691474,64208495.643308446,0.0,142600431.6053753,0.0,0.0,131368001929.04655,103382676469.58043,103382676469.58043,234750678398.62698
20000.0,120000.0,0.0,0.0,0.0,8199.870243902438,7491271.203269524,64340728.79673043,0.0,165711118.7519539,0.0,0.0,145368001929.04657,110085650717.47292,110085650717.47292,255453652646.51947
20000.0,120000.0,10000.0,2000.0,5000000.0,6199.870243902438,4293233.726642684,64340728.79673043,3198037.4766268283,158572642.24162602,100.0,96.80726772604875,174695274656.31927,122824585848.8305,122824585848.8305,297519860505.1498
