wind_mw,solar_mw,electrolyzer_mw,h2_turbine_mw,storage_mwh_h2,gas_ccs_capacity_mw,annual_gas_generation_mwh,annual_direct_renewable_mwh,annual_h2_turbine_output_mwh,annual_curtailed_surplus_mwh,end_soc_pct,min_soc_pct,capex_total_gbp,opex_lifecycle_undiscounted_gbp,opex_lifecycle_discounted_gbp,objective_total_expenditure_gbp
30000.0,60000.0,15000.0,8200.0,5000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446245,100.0,90.24986884159021,163110000000.0,126618576937.61601,126618576937.61601,289728576937.616
30000.0,60000.0,15000.0,8200.0,10000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446256,100.0,95.1249344207952,178110000000.0,126868576937.61594,126868576937.61594,304978576937.61597
30000.0,60000.0,15000.0,8200.0,15000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446256,100.0,96.74995628053013,193110000000.0,127118576937.61594,127118576937.61594,320228576937.61597
30000.0,60000.0,15000.0,8200.0,20000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446256,100.0,97.56246721039751,208110000000.0,127368576937.61592,127368576937.61592,335478576937.6159
30000.0,60000.0,15000.0,8200.0,25000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446256,100.0,98.04997376831801,223110000000.0,127618576937.61592,127618576937.61592,350728576937.6159
30000.0,60000.0,15000.0,8200.0,30000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446256,100.0,98.374978140265,238110000000.0,127868576937.61592,127868576937.61592,365978576937.6159
30000.0,60000.0,20000.0,8200.0,5000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446251,100.0,90.24986884159021,170610000000.0,132065005509.04457,132065005509.04457,302675005509.04456
30000.0,60000.0,20000.0,8200.0,10000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446254,100.0,95.1249344207952,185610000000.0,132315005509.04453,132315005509.04453,317925005509.04456
30000.0,60000.0,20000.0,8200.0,15000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446254,100.0,96.74995628053013,200610000000.0,132565005509.04453,132565005509.04453,333175005509.04456
30000.0,60000.0,20000.0,8200.0,20000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446258,100.0,97.56246721039751,215610000000.0,132815005509.04443,132815005509.04443,348425005509.04443
30000.0,60000.0,20000.0,8200.0,25000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446258,100.0,98.04997376831801,230610000000.0,133065005509.04443,133065005509.04443,363675005509.04443
30000.0,60000.0,20000.0,8200.0,30000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446258,100.0,98.374978140265,245610000000.0,133315005509.04443,133315005509.04443,378925005509.04443
30000.0,60000.0,25000.0,8200.0,5000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.75446258,100.0,90.24986884159021,178110000000.0,137511434080.47314,137511434080.47314,315621434080.47314
30000.0,60000.0,25000.0,8200.0,10000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.7544626,100.0,95.1249344207952,193110000000.0,137761434080.47308,137761434080.47308,330871434080.4731
30000.0,60000.0,25000.0,8200.0,15000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.7544626,100.0,96.74995628053013,208110000000.0,138011434080.47308,138011434080.47308,346121434080.4731
30000.0,60000.0,25000.0,8200.0,20000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.7544626,100.0,97.56246721039751,223110000000.0,138261434080.47302,138261434080.47302,361371434080.473
30000.0,60000.0,25000.0,8200.0,25000000.0,0.0,0.0,66246830.44870186,5585169.551298168,126906522.7544626,100.0,98.04997376831801,238110000000.0,138511434080.47302,138511434080.47302,376621434080.473
