design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
solar,150000.00 MW,105000000000.0,52500000000.0
electrolyzer,40000.00 MW,60000000000.0,132839652131.00137
h2_turbine,8200.00 MW,8610000000.0,11348096268.749996
storage,22245800.78 MWh-H2,66737402343.75,1112290039.0625
TOTAL,,240347402343.75,197800038438.81387
