design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
solar,350000.00 MW,245000000000.0,122500000000.0
electrolyzer,80000.00 MW,120000000000.0,191500626993.71832
h2_turbine,8200.00 MW,8610000000.0,11112621174.999998
storage,52088778.69 MWh-H2,156266336059.5703,2604438934.326172
TOTAL,,529876336059.5703,327717687103.0445
