time,wind_mw,demand_mw,surplus_mw,deficit_mw,charge_h2_mwh_potential,charge_h2_mwh_actual,discharge_h2_mwh_needed,discharge_h2_mwh_actual,curtailed_surplus_electric_mwh,unmet_electric_mwh,soc_start_mwh,soc_end_mwh,soc_end_pct
2019-01-01 00:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112235685.14685175,112222872.64685175,99.98858429029659
2019-01-01 01:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112222872.64685175,112210060.14685175,99.97716858059317
2019-01-01 02:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112210060.14685175,112197247.64685175,99.96575287088977
2019-01-01 03:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112197247.64685175,112184435.14685175,99.95433716118636
2019-01-01 04:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112184435.14685175,112171622.64685175,99.94292145148293
2019-01-01 05:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112171622.64685175,112158810.14685175,99.93150574177953
2019-01-01 06:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112158810.14685175,112145997.64685175,99.92009003207612
2019-01-01 07:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112145997.64685175,112133185.14685175,99.9086743223727
2019-01-01 08:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112133185.14685175,112120372.64685175,99.89725861266929
2019-01-01 09:00,0.016324,8200.0,0.0,8199.983676,0.0,0.0,12812.47449375,12812.47449375,0.0,0.0,112120372.64685175,112107560.17235799,99.88584292569149
2019-01-01 10:00,0.043473,8200.0,0.0,8199.956527,0.0,0.0,12812.4320734375,12812.4320734375,0.0,0.0,112107560.17235799,112094747.74028455,99.87442727650944
2019-01-01 11:00,0.040907,8200.0,0.0,8199.959093,0.0,0.0,12812.436082812499,12812.436082812499,0.0,0.0,112094747.74028455,112081935.30420174,99.8630116237551
2019-01-01 12:00,0.046696,8200.0,0.0,8199.953304,0.0,0.0,12812.427037500001,12812.427037500001,0.0,0.0,112081935.30420174,112069122.87716423,99.85159597905997
2019-01-01 13:00,0.034585,8200.0,0.0,8199.965415,0.0,0.0,12812.4459609375,12812.4459609375,0.0,0.0,112069122.87716423,112056310.43120329,99.8401803175044
2019-01-01 14:00,0.01463,8200.0,0.0,8199.98537,0.0,0.0,12812.477140625,12812.477140625,0.0,0.0,112056310.43120329,112043497.95406267,99.82876462816829
2019-01-01 15:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112043497.95406267,112030685.45406267,99.81734891846487
2019-01-01 16:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112030685.45406267,112017872.95406267,99.80593320876146
2019-01-01 17:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112017872.95406267,112005060.45406267,99.79451749905806
2019-01-01 18:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,112005060.45406267,111992247.95406267,99.78310178935465
2019-01-01 19:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111992247.95406267,111979435.45406267,99.77168607965123
2019-01-01 20:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111979435.45406267,111966622.95406267,99.76027036994782
2019-01-01 21:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111966622.95406267,111953810.45406267,99.74885466024442
2019-01-01 22:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111953810.45406267,111940997.95406267,99.73743895054099
2019-01-01 23:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111940997.95406267,111928185.45406267,99.72602324083758
2019-01-02 00:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111928185.45406267,111915372.95406267,99.71460753113416
2019-01-02 01:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111915372.95406267,111902560.45406267,99.70319182143076
2019-01-02 02:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111902560.45406267,111889747.95406267,99.69177611172735
2019-01-02 03:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111889747.95406267,111876935.45406267,99.68036040202394
2019-01-02 04:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111876935.45406267,111864122.95406267,99.66894469232052
2019-01-02 05:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111864122.95406267,111851310.45406267,99.65752898261712
2019-01-02 06:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111851310.45406267,111838497.95406267,99.64611327291371
2019-01-02 07:00,0.0,8200.0,0.0,8200.0,0.0,0.0,12812.5,12812.5,0.0,0.0,111838497.95406267,111825685.45406267,99.63469756321028
2019-01-02 08:00,0.027641,8200.0,0.0,8199.972359,0.0,0.0,12812.4568109375,12812.4568109375,0.0,0.0,111825685.45406267,111812872.99725173,99.62328189198757
2019-01-02 09:00,0.188745,8200.0,0.0,8199.811255,0.0,0.0,12812.205085937501,12812.205085937501,0.0,0.0,111812872.99725173,111800060.7921658,99.61186644504735
2019-01-02 10:00,0.38825299999999996,8200.0,0.0,8199.611747,0.0,0.0,12811.893354687501,12811.893354687501,0.0,0.0,111800060.7921658,111787248.89881112,99.60045127585411
2019-01-02 11:00,0.472459,8200.0,0.0,8199.527541,0.0,0.0,12811.761782812498,12811.761782812498,0.0,0.0,111787248.89881112,111774437.1370283,99.58903622388911
