design_component,best_design_(MW/MWh-H2),capex_for_best_design,opex_over_25_years_for_best_design
solar,300000.00 MW,210000000000.0,8400000000.0
electrolyzer,60000.00 MW,42000000000.0,12937450549.440022
h2_turbine,8200.00 MW,7380000000.0,891546747.9999995
storage,9009350.59 MWh-H2,27028051757.8125,36037402.34375
TOTAL,,286408051757.8125,22265034699.78377
